City,State,Population
San Bernardino,CA,185401
Pasadena,TX,141674
Chesapeake,VA,199184
Columbia,SC,116278
Augusta,GA,195182
Rockford,IL,150115
Louisville,KY,256231
Little Rock,AR,183133
Mesquite,TX,124523
Stockton,CA,243771
Raleigh,NC,276093
Coral Springs,FL,117549
Omaha,NE,390007
Vancouver,WA,143560
Boise City,ID,185787
Pueblo,CO,102121
Corona,CA,124966
Inglewood,CA,112580
Winston-Salem,NC,185776
Santa Clara,CA,102361
Columbus,GA,185781
Denver,CO,554636
Chandler,AZ,176581
Chattanooga,TN,155554
Eugene,OR,137893
Aurora,IL,142990
Columbus,OH,711470
Jackson,MS,184256
Norwalk,CA,103298
Richmond,VA,197790
San Antonio,TX,1144646
Yonkers,NY,196086
Escondido,CA,133559
Santa Ana,CA,337977
Fort Collins,CO,118652
Washington,DC,572059
Santa Clarita,CA,151088
Erie,PA,103717
Salem,OR,136924
Stamford,CT,117083
Atlanta,GA,416474
Berkeley,CA,102743
Evansville,IN,121582
Nashville,TN,545524
Oxnard,CA,170358
Oakland,CA,399484
Dallas,TX,1188580
McAllen,TX,106414
Amarillo,TX,173627
Waterbury,CT,107271
Birmingham,AL,242820
Worcester,MA,172648
Green Bay,WI,102313
Houston,TX,1953631
Simi Valley,CA,111351
Waco,TX,113726
Hollywood,FL,139357
New York,NY,8008278
Elizabeth,NJ,120568
Rancho Cucamonga,CA,127743
Pembroke Pines,FL,137427
Henderson,NV,175381
Abilene,TX,115930
West Valley City,UT,108896
Flint,MI,124943
Lubbock,TX,199564
Allentown,PA,106632
Portsmouth,VA,100565
Hialeah,FL,226419
Savannah,GA,131510
Minneapolis,MN,382618
Tucson,AZ,486699
North Las Vegas,NV,115488
Paterson,NJ,149222
Norfolk,VA,234403
Bellevue,WA,109569
Thousand Oaks,CA,117005
Grand Rapids,MI,197800
Fullerton,CA,126003
Joliet,IL,106221
Westminster,CO,100940
Greensboro,NC,223891
Torrance,CA,137946
Fremont,CA,203413
Hayward,CA,140030
Beaumont,TX,113866
Alexandria,VA,128283
Brownsville,TX,139722
Boston,MA,589141
Tallahassee,FL,150624
Tacoma,WA,193556
Orange,CA,128821
Syracuse,NY,147306
Colorado Springs,CO,360890
Wichita Falls,TX,104197
Riverside,CA,255166
Athens,GA,100266
Ann Arbor,MI,114024
Lexington-Fayette,KY,260512
Sterling Heights,MI,124471
Palmdale,CA,116670
